p,m,k,C
2,0.8527963189043191,0.201603008413195,-0.6122817608462856
3,0.8966478437644965,0.26354855103920266,-0.6603177769881347
4,0.6497725778420808,0.35510692470003447,-0.36687208336581134
5,0.8516936425226295,0.33659379699551056,-0.6698512431918147
6,0.8185293135439541,0.3618745550653566,-0.6475406982218211
7,0.522793001650466,0.45012023272660484,-0.2126038861003091
8,0.6390333185014075,0.423910886652161,-0.4293344601013001
9,0.6665477083577342,0.4340322460864913,-0.5278376162525398
10,0.6655163626790356,0.4278257871905456,-0.46156370589536844
11,0.6526953963161802,0.4396218356183189,-0.4765241617031944
12,0.5506705471740047,0.4735321211676893,-0.3044242243620223
13,0.6283742257780824,0.4492387261340463,-0.45231834755322586
14,0.537186387789132,0.4836999693496047,-0.29402021078761875
15,0.4848588773963041,0.49922891643138073,-0.17596486858390528
16,0.6828671939435695,0.43658600739543685,-0.5240466181141618
17,0.6250946232641649,0.46161253948435604,-0.4619123184630181
18,0.49269921511284176,0.5019277880147551,-0.21248302026772428
19,0.6059929712026798,0.46263891800860735,-0.38741411352491445
20,0.45405457336536076,0.5082649676812008,-0.07697486201183042
21,0.5137079855410747,0.4977303131604518,-0.18728507242426182
